f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,label
154.28,129.53,126.5,139.75,155.22,180.86,151.88,144.79,161.47,151.24,135.61,130.01,132.72,147.47,151.72,138.16,154.32,131.8,146.86,138.09,136.95,133.02,138.43,159.96,142.18,143.97,133.4,137.35,147.53,158.23,149.71,163.02,138.13,150.75,123.78,126.74,148.22,169.35,162.6,147.05,139.86,164.75,142.28,121.91,140.36,148.63,173.71,163.91,159.21,142.35,156.59,160.96,146.84,127.89,128.18,152.59,159.21,146.86,150.71,140.36,131.8,150.88,140.69,141.01,167.26,171.07,145.46,0
148.16,138.14,162.66,157.76,156.75,183.08,185.5,151.45,155.35,142.25,158.96,149.97,156.86,187.64,190.63,170.26,194.78,171.3,175.07,156.68,129.93,133.31,153.74,157.57,172.16,193.38,196.51,170.41,136.95,133.09,134.34,149.63,164.77,171.56,179.43,166.99,146.38,152.52,136.15,130.58,142.6,173.28,162.5,153.06,166.88,163.99,174.59,153.12,163.77,118.03,130.14,175.61,178.06,152.62,162.64,175.36,163.77,136.63,128.48,166.88,171.3,159.97,161.07,165.74,141.93,142.79,144.5,0
160.78,171.87,170.26,167.12,159.8,149.87,151.01,142.18,139.94,163.27,184.26,185.7,143.78,148.65,169.49,164.4,127.07,131.29,164.19,181.29,190,165.32,142.11,159.66,170.96,138.87,130,142.53,165.43,180.04,178.55,148.03,149.04,154.68,131.74,132.13,143.98,154.06,174.47,162.28,155.62,142.86,129.67,138.81,137.21,154.93,157.5,163.61,163.46,167.15,172.86,126.21,120.54,125.65,144.05,152.24,163.46,157.39,156.87,137.21,131.29,130.77,127.89,136.16,151.22,139.41,131.31,0
141.88,147.12,161.71,145.31,136.47,155.97,154.56,136.83,147.08,135.27,161.58,166.54,133.74,144,153.47,144.5,151.82,130.55,139.88,144.78,149.75,136.25,140.52,129.14,127.81,142.32,149.35,137.43,126.84,144.99,159.45,154.64,137.87,150.07,152.69,142.34,125.91,144.63,152.65,172.98,153.58,163.84,152.4,128.52,131.25,120.86,135.18,156.66,141.09,169.43,149.38,154.67,158.19,150.17,133.83,138.42,141.09,158.66,146.44,131.25,130.55,132.81,152.88,150.41,134.04,137.47,151.03,0
108.16,107.48,116.48,129.69,133.76,129.8,131.78,126.42,121.34,100,123.31,137.22,119.15,115.3,144.73,141.53,175.6,143.26,121.34,136.64,161.14,137.48,128.77,154.08,169.68,150.39,133.38,147.28,153.76,163.11,169.49,164.73,158.81,144.29,116.7,119.32,130.81,160.73,184.63,172.18,138.5,152.73,138.69,150.81,137.95,135.8,130.51,152.53,135.48,168.39,137.21,128.51,137.2,161.43,173.91,157.69,135.48,164.99,157.48,137.95,143.26,150.38,166.44,170.37,138.13,145.43,169.09,0
143.84,156.07,140.1,142.7,145.02,116.08,121.57,148.51,173.4,185.34,163.95,138.01,132.07,117.32,106.2,120.47,160.26,135.48,178.36,167.94,138.98,143.48,153.71,131.26,127.18,145.1,134.36,131.61,133.95,153.87,171.4,155.22,134.62,169.88,145.04,127.56,139.1,142.27,149.61,146.04,131.99,148.13,151.4,159.15,111,160.53,139.53,140.67,152.21,159.58,161.22,132.62,135.01,157.87,168.37,150.19,152.21,172.39,185.43,111,135.48,168.38,173.52,178.33,179.21,166.29,159.37,0
116.09,119.76,146.96,167.56,172.65,192.74,178.54,127.39,144.53,126,127.94,142.76,156.24,180.72,197.02,159.65,137.46,179.84,140.59,157.77,154.84,147.48,164.21,185.97,178.25,127.38,159.31,178.05,169.91,153.48,168.8,176.02,182.14,141.17,157.95,166.66,172.57,161.93,155.81,161.79,156.86,143.69,146.48,149.89,145.1,170.67,167,140.4,146.79,146.55,143.79,154.75,163.75,157.95,150.74,165.3,146.79,135.98,139.28,145.1,179.84,188.82,151.95,130.71,140.63,133.74,123.2,0
133.85,152.41,161.96,150,119.86,121.02,147.9,143.02,148.5,122.46,109.13,114.65,121.25,134.9,155.09,168.16,122.66,170.69,118.67,148.72,143.28,132.25,155.83,159.13,173.52,144.08,157.89,157.64,159.86,148.97,158.19,164.73,163.96,129.35,134.02,139.75,159.04,170.39,156.93,139.92,154.02,143.75,141.37,144.93,150.55,159.43,145.64,130.47,134.68,124.53,142.16,156.21,170.66,158.84,148.08,144.3,134.68,142.07,152.69,150.55,170.69,149.3,133.83,129.8,132.54,140.52,154.43,0
130.12,148.28,143.29,131.73,120.37,134.9,136.83,129.2,147.96,158.78,153.08,112.22,95.207,123.55,154.53,159.09,153.76,152.76,173.77,170.94,140.8,108.13,125.24,151.69,163.48,149.06,151.19,159.99,158.43,151.76,135.44,139.08,135.58,167.34,154.01,148.76,158.4,178.11,159.43,141.72,124.18,163.11,159.99,151.71,156.12,147.93,162.01,166.22,141.79,165.3,139.74,162.72,154.93,168.72,163.67,155.79,141.79,159.6,152.74,156.12,152.76,158.2,153.94,158.86,153.55,151.49,146.17,0
138.38,176.16,162.81,141.22,150.53,167.99,159.42,140.37,138.91,157.4,172.98,156.52,150.61,172.66,162.74,156.23,159.66,154.18,150.45,162.43,142.59,148.9,166.07,155.89,154.33,157.38,168.26,176.76,158.27,160.14,171.79,182.05,157.94,153.07,168.91,173.09,174.8,161.56,165.12,167.74,144.35,142.51,157.51,159.69,140.15,168.11,156.64,134.54,153.55,131.72,127.26,143.52,161.1,166.15,172.62,184.46,153.55,136.22,134.44,140.15,154.18,157.97,171.46,187.2,164.68,140.76,134.5,0
